year,quarter_number,region,churn
1994,1,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1994,1,НОВГОРОДСКАЯ ОБЛ,0.0
1994,1,НОВОСИБИРСКАЯ ОБЛ,0.0
1994,1,ПЕНЗЕНСКАЯ ОБЛ,0.0
1994,1,ПСКОВСКАЯ ОБЛ,0.0
1994,1,РОСТОВСКАЯ ОБЛ,0.0
1994,1,РЯЗАНСКАЯ ОБЛ,0.0
1994,1,САМАРСКАЯ ОБЛ,0.0
1994,1,САНКТ-ПЕТЕРБУРГ Г,0.0
1994,1,САРАТОВСКАЯ ОБЛ,0.0
1994,1,САХА /ЯКУТИЯ/ РЕСП,0.0
1994,1,САХАЛИНСКАЯ ОБЛ,0.0
1994,1,СВЕРДЛОВСКАЯ ОБЛ,0.0
1994,1,СЕВАСТОПОЛЬ Г,0.0
1994,1,СМОЛЕНСКАЯ ОБЛ,0.0
1994,1,СТАВРОПОЛЬСКИЙ КРАЙ,0.0
1994,1,ТВЕРСКАЯ ОБЛ,0.0
1994,1,ТУЛЬСКАЯ ОБЛ,0.0
1994,1,ТЮМЕНСКАЯ ОБЛ,0.0
1994,1,УЗБЕКИСТАН,0.0
1994,1,УКРАИНА,0.0
1994,1,ХАБАРОВСКИЙ КРАЙ,0.0
1994,1,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1994,1,ЧЕЛЯБИНСКАЯ ОБЛ,0.0
1994,1,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,0.0
1994,1,ЧУКОТСКИЙ АО,0.0
1994,1,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1994,1,ЯРОСЛАВСКАЯ ОБЛ,0.0
1994,2,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1994,2,БЕЛАРУСЬ,0.0
1994,2,БЕЛГОРОДСКАЯ ОБЛ,0.0
1994,2,БРЯНСКАЯ ОБЛ,0.0
1994,2,ВЛАДИМИРСКАЯ ОБЛ,0.0
1994,2,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1994,2,ВОЛОГОДСКАЯ ОБЛ,0.0
1994,2,ВОРОНЕЖСКАЯ ОБЛ,0.0
1994,2,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1994,2,ИВАНОВСКАЯ ОБЛ,0.0
1994,2,ИРКУТСКАЯ ОБЛ,0.0
1994,2,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1994,2,КАЗАХСТАН,0.0
1994,2,КАЛУЖСКАЯ ОБЛ,0.0
1994,2,КАМЧАТСКИЙ КРАЙ,0.0
1994,2,КАРЕЛИЯ РЕСП,0.0
1994,2,КИРОВСКАЯ ОБЛ,0.0
1994,2,КОМИ РЕСП,0.0
1994,2,КОСТРОМСКАЯ ОБЛ,0.0
1994,2,КРАСНОДАРСКИЙ КРАЙ,0.0
1994,2,КРАСНОЯРСКИЙ КРАЙ,0.0
1994,2,КРЫМ РЕСП,0.0
1994,2,КУРГАНСКАЯ ОБЛ,0.0
1994,2,КУРСКАЯ ОБЛ,0.0
1994,2,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1994,2,ЛИТВА,0.0
1994,2,МАГАДАНСКАЯ ОБЛ,0.0
1994,2,МАРИЙ ЭЛ РЕСП,0.0
1994,2,МОЛДАВИЯ,0.0
1994,2,МОСКВА Г,0.0
1994,2,МОСКОВСКАЯ ОБЛ,0.0
1994,2,МУРМАНСКАЯ ОБЛ,0.0
1994,2,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1994,2,НОВОСИБИРСКАЯ ОБЛ,0.0
1994,2,ОМСКАЯ ОБЛ,0.0
1994,2,ОРЕНБУРГСКАЯ ОБЛ,0.0
1994,2,ПЕНЗЕНСКАЯ ОБЛ,0.0
1994,2,ПСКОВСКАЯ ОБЛ,0.0
1994,2,РОСТОВСКАЯ ОБЛ,0.0
1994,2,РЯЗАНСКАЯ ОБЛ,0.0
1994,2,САМАРСКАЯ ОБЛ,0.0
1994,2,САНКТ-ПЕТЕРБУРГ Г,0.0
1994,2,САРАТОВСКАЯ ОБЛ,0.0
1994,2,САХА /ЯКУТИЯ/ РЕСП,0.0
1994,2,СВЕРДЛОВСКАЯ ОБЛ,0.0
1994,2,СЕВАСТОПОЛЬ Г,0.0
1994,2,СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,0.0
1994,2,СМОЛЕНСКАЯ ОБЛ,0.0
1994,2,СТАВРОПОЛЬСКИЙ КРАЙ,0.0
1994,2,ТВЕРСКАЯ ОБЛ,0.0
1994,2,ТУЛЬСКАЯ ОБЛ,0.0
1994,2,ТЮМЕНСКАЯ ОБЛ,0.0
1994,2,УЗБЕКИСТАН,0.0
1994,2,УКРАИНА,0.0
1994,2,ХАБАРОВСКИЙ КРАЙ,0.0
1994,2,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1994,2,ЧЕЛЯБИНСКАЯ ОБЛ,0.0
1994,2,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,0.0
1994,2,ЧУКОТСКИЙ АО,0.0
1994,2,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1994,2,ЯРОСЛАВСКАЯ ОБЛ,0.0
1994,3,АЛТАЙ РЕСП,0.0
1994,3,АМУРСКАЯ ОБЛ,0.0
1994,3,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1994,3,БЕЛАРУСЬ,0.0
1994,3,БЕЛГОРОДСКАЯ ОБЛ,0.0
1994,3,БРЯНСКАЯ ОБЛ,0.0
1994,3,ВЛАДИМИРСКАЯ ОБЛ,0.0
1994,3,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1994,3,ВОЛОГОДСКАЯ ОБЛ,0.0
1994,3,ВОРОНЕЖСКАЯ ОБЛ,0.0
1994,3,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1994,3,ИВАНОВСКАЯ ОБЛ,0.0
1994,3,ИРКУТСКАЯ ОБЛ,0.0
1994,3,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1994,3,КАЗАХСТАН,0.0
1994,3,КАЛУЖСКАЯ ОБЛ,0.0
1994,3,КАМЧАТСКИЙ КРАЙ,0.0
1994,3,КАРЕЛИЯ РЕСП,0.0
1994,3,КИРОВСКАЯ ОБЛ,0.0
1994,3,КОМИ РЕСП,0.0
1994,3,КРАСНОДАРСКИЙ КРАЙ,0.0
1994,3,КРАСНОЯРСКИЙ КРАЙ,0.0
1994,3,КРЫМ РЕСП,0.0
1994,3,КУРГАНСКАЯ ОБЛ,0.0
1994,3,КУРСКАЯ ОБЛ,0.0
1994,3,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1994,3,ЛИТВА,0.0
1994,3,МАГАДАНСКАЯ ОБЛ,0.0
1994,3,МОЛДАВИЯ,0.0
1994,3,МОСКВА Г,0.0
1994,3,МОСКОВСКАЯ ОБЛ,0.0
1994,3,МУРМАНСКАЯ ОБЛ,0.0
1994,3,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1994,3,НОВГОРОДСКАЯ ОБЛ,0.0
1994,3,НОВОСИБИРСКАЯ ОБЛ,0.0
1994,3,ОМСКАЯ ОБЛ,0.0
1994,3,ОРЕНБУРГСКАЯ ОБЛ,0.0
1994,3,ПЕНЗЕНСКАЯ ОБЛ,0.0
1994,3,ПСКОВСКАЯ ОБЛ,0.0
1994,3,РОСТОВСКАЯ ОБЛ,0.0
1994,3,РЯЗАНСКАЯ ОБЛ,0.0
1994,3,САМАРСКАЯ ОБЛ,0.0
1994,3,САНКТ-ПЕТЕРБУРГ Г,0.0
1994,3,САРАТОВСКАЯ ОБЛ,0.0
1994,3,САХА /ЯКУТИЯ/ РЕСП,0.0
1994,3,САХАЛИНСКАЯ ОБЛ,0.0
1994,3,СВЕРДЛОВСКАЯ ОБЛ,0.0
1994,3,СЕВАСТОПОЛЬ Г,0.0
1994,3,СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,0.0
1994,3,СТАВРОПОЛЬСКИЙ КРАЙ,0.0
1994,3,ТВЕРСКАЯ ОБЛ,0.0
1994,3,ТУЛЬСКАЯ ОБЛ,0.0
1994,3,ТЮМЕНСКАЯ ОБЛ,0.0
1994,3,УДМУРТСКАЯ РЕСП,0.0
1994,3,УЗБЕКИСТАН,0.0
1994,3,УКРАИНА,0.0
1994,3,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1994,3,ЧЕЛЯБИНСКАЯ ОБЛ,0.0
1994,3,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,0.0
1994,3,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1994,3,ЯРОСЛАВСКАЯ ОБЛ,0.0
1994,4,АЛТАЙ РЕСП,0.0
1994,4,АМУРСКАЯ ОБЛ,0.0
1994,4,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1994,4,БЕЛАРУСЬ,0.0
1994,4,БЕЛГОРОДСКАЯ ОБЛ,0.0
1994,4,БРЯНСКАЯ ОБЛ,0.0
1994,4,ВЛАДИМИРСКАЯ ОБЛ,0.0
1994,4,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1994,4,ВОЛОГОДСКАЯ ОБЛ,0.0
1994,4,ВОРОНЕЖСКАЯ ОБЛ,0.0
1994,4,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1994,4,ИВАНОВСКАЯ ОБЛ,0.0
1994,4,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1994,4,КАЗАХСТАН,0.0
1994,4,КАЛУЖСКАЯ ОБЛ,0.0
1994,4,КАМЧАТСКИЙ КРАЙ,0.0
1994,4,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,0.0
1994,4,КАРЕЛИЯ РЕСП,0.0
1994,4,КИРОВСКАЯ ОБЛ,0.0
1994,4,КОСТРОМСКАЯ ОБЛ,0.0
1994,4,КРАСНОДАРСКИЙ КРАЙ,0.0
1994,4,КРАСНОЯРСКИЙ КРАЙ,0.0
1994,4,КРЫМ РЕСП,0.0
1994,4,КУРГАНСКАЯ ОБЛ,0.0
1994,4,КУРСКАЯ ОБЛ,0.0
1994,4,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1994,4,ЛИТВА,0.0
1994,4,МАГАДАНСКАЯ ОБЛ,0.0
1994,4,МАРИЙ ЭЛ РЕСП,0.0
1994,4,МОЛДАВИЯ,0.0
1994,4,МОСКВА Г,0.0
1994,4,МОСКОВСКАЯ ОБЛ,0.0
1994,4,МУРМАНСКАЯ ОБЛ,0.0
1994,4,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1994,4,НОВГОРОДСКАЯ ОБЛ,0.0
1994,4,НОВОСИБИРСКАЯ ОБЛ,0.0
1994,4,ОМСКАЯ ОБЛ,0.0
1994,4,ОРЕНБУРГСКАЯ ОБЛ,0.0
1994,4,ПЕНЗЕНСКАЯ ОБЛ,0.0
1994,4,ПСКОВСКАЯ ОБЛ,0.0
1994,4,РОСТОВСКАЯ ОБЛ,0.0
1994,4,РЯЗАНСКАЯ ОБЛ,0.0
1994,4,САМАРСКАЯ ОБЛ,0.0
1994,4,САНКТ-ПЕТЕРБУРГ Г,0.0
1994,4,САРАТОВСКАЯ ОБЛ,0.0
1994,4,САХА /ЯКУТИЯ/ РЕСП,0.0
1994,4,САХАЛИНСКАЯ ОБЛ,0.0
1994,4,СВЕРДЛОВСКАЯ ОБЛ,0.0
1994,4,СЕВАСТОПОЛЬ Г,0.0
1994,4,СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,0.0
1994,4,СМОЛЕНСКАЯ ОБЛ,0.0
1994,4,СТАВРОПОЛЬСКИЙ КРАЙ,0.0
1994,4,ТВЕРСКАЯ ОБЛ,0.0
1994,4,ТУЛЬСКАЯ ОБЛ,0.0
1994,4,ТЮМЕНСКАЯ ОБЛ,0.0
1994,4,УДМУРТСКАЯ РЕСП,0.0
1994,4,УЗБЕКИСТАН,0.0
1994,4,УКРАИНА,0.0
1994,4,ХАБАРОВСКИЙ КРАЙ,0.0
1994,4,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1994,4,ЧЕЛЯБИНСКАЯ ОБЛ,0.0
1994,4,ЧУКОТСКИЙ АО,0.0
1994,4,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1994,4,ЯРОСЛАВСКАЯ ОБЛ,0.0
1995,1,АЛТАЙ РЕСП,0.0
1995,1,ВОЛОГОДСКАЯ ОБЛ,0.0
1995,1,ВОРОНЕЖСКАЯ ОБЛ,0.0
1995,1,КАЛУЖСКАЯ ОБЛ,0.0
1995,1,КУРСКАЯ ОБЛ,0.0
1995,1,МОСКВА Г,0.0
1995,1,МОСКОВСКАЯ ОБЛ,0.0
1995,1,МУРМАНСКАЯ ОБЛ,0.0
1995,1,НОВОСИБИРСКАЯ ОБЛ,0.0
1995,1,САМАРСКАЯ ОБЛ,0.0
1995,1,ТУЛЬСКАЯ ОБЛ,0.0
1995,1,УДМУРТСКАЯ РЕСП,0.0
1995,1,ЯРОСЛАВСКАЯ ОБЛ,0.0
1995,2,ВОРОНЕЖСКАЯ ОБЛ,0.0
1995,2,ИВАНОВСКАЯ ОБЛ,0.0
1995,2,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1995,2,МОСКВА Г,0.0
1995,2,МОСКОВСКАЯ ОБЛ,0.0
1995,2,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1995,2,САНКТ-ПЕТЕРБУРГ Г,0.0
1995,2,САХА /ЯКУТИЯ/ РЕСП,0.0
1995,2,ТУЛЬСКАЯ ОБЛ,0.0
1995,3,АМУРСКАЯ ОБЛ,0.0
1995,3,ВОРОНЕЖСКАЯ ОБЛ,0.0
1995,3,МОСКВА Г,0.0
1995,3,МОСКОВСКАЯ ОБЛ,0.0
1995,3,ТУЛЬСКАЯ ОБЛ,0.0
1995,4,АМУРСКАЯ ОБЛ,0.0
1995,4,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1995,4,БЕЛАРУСЬ,0.0
1995,4,БЕЛГОРОДСКАЯ ОБЛ,0.0
1995,4,ВЛАДИМИРСКАЯ ОБЛ,0.0
1995,4,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1995,4,ВОЛОГОДСКАЯ ОБЛ,0.0
1995,4,ВОРОНЕЖСКАЯ ОБЛ,0.0
1995,4,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1995,4,ИВАНОВСКАЯ ОБЛ,0.0
1995,4,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1995,4,КАЗАХСТАН,0.0
1995,4,КАЛУЖСКАЯ ОБЛ,0.0
1995,4,КАМЧАТСКИЙ КРАЙ,0.0
1995,4,КАРЕЛИЯ РЕСП,0.0
1995,4,КИРОВСКАЯ ОБЛ,0.0
1995,4,КРАСНОДАРСКИЙ КРАЙ,0.0
1995,4,КРАСНОЯРСКИЙ КРАЙ,0.0
1995,4,КРЫМ РЕСП,0.0
1995,4,КУРГАНСКАЯ ОБЛ,0.0
1995,4,КУРСКАЯ ОБЛ,0.0
1995,4,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1995,4,ЛИТВА,0.0
1995,4,МАГАДАНСКАЯ ОБЛ,0.0
1995,4,МАРИЙ ЭЛ РЕСП,0.0
1995,4,МОСКВА Г,0.0
1995,4,МОСКОВСКАЯ ОБЛ,0.0
1995,4,МУРМАНСКАЯ ОБЛ,0.0
1995,4,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1995,4,НОВГОРОДСКАЯ ОБЛ,0.0
1995,4,НОВОСИБИРСКАЯ ОБЛ,0.0
1995,4,ОМСКАЯ ОБЛ,0.0
1995,4,ОРЕНБУРГСКАЯ ОБЛ,0.0
1995,4,ПЕНЗЕНСКАЯ ОБЛ,0.0
1995,4,ПСКОВСКАЯ ОБЛ,0.0
1995,4,РОСТОВСКАЯ ОБЛ,0.0
1995,4,РЯЗАНСКАЯ ОБЛ,0.0
1995,4,САМАРСКАЯ ОБЛ,0.0
1995,4,САНКТ-ПЕТЕРБУРГ Г,0.0
1995,4,САРАТОВСКАЯ ОБЛ,0.0
1995,4,САХА /ЯКУТИЯ/ РЕСП,0.0
1995,4,САХАЛИНСКАЯ ОБЛ,0.0
1995,4,СВЕРДЛОВСКАЯ ОБЛ,0.0
1995,4,СЕВАСТОПОЛЬ Г,0.0
1995,4,СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,0.0
1995,4,СТАВРОПОЛЬСКИЙ КРАЙ,0.0
1995,4,ТВЕРСКАЯ ОБЛ,0.0
1995,4,ТУЛЬСКАЯ ОБЛ,0.0
1995,4,ТЮМЕНСКАЯ ОБЛ,0.0
1995,4,УКРАИНА,0.0
1995,4,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1995,4,ЧЕЛЯБИНСКАЯ ОБЛ,0.0
1995,4,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,0.0
1995,4,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1995,4,ЯРОСЛАВСКАЯ ОБЛ,0.0
1996,1,АЛТАЙ РЕСП,0.0
1996,1,АМУРСКАЯ ОБЛ,0.0
1996,1,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1996,1,БЕЛАРУСЬ,0.0
1996,1,БРЯНСКАЯ ОБЛ,0.0
1996,1,ВЛАДИМИРСКАЯ ОБЛ,0.0
1996,1,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1996,1,ВОЛОГОДСКАЯ ОБЛ,0.0
1996,1,ВОРОНЕЖСКАЯ ОБЛ,0.0
1996,1,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1996,1,ИВАНОВСКАЯ ОБЛ,0.0
1996,1,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1996,1,КАЗАХСТАН,0.0
1996,1,КАЛУЖСКАЯ ОБЛ,0.0
1996,1,КАМЧАТСКИЙ КРАЙ,0.0
1996,1,КАРЕЛИЯ РЕСП,0.0
1996,1,КИРОВСКАЯ ОБЛ,0.0
1996,1,КОСТРОМСКАЯ ОБЛ,0.0
1996,1,КРАСНОДАРСКИЙ КРАЙ,0.0
1996,1,КРАСНОЯРСКИЙ КРАЙ,0.0
1996,1,КРЫМ РЕСП,0.0
1996,1,КУРГАНСКАЯ ОБЛ,0.0
1996,1,КУРСКАЯ ОБЛ,0.0
1996,1,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1996,1,ЛИТВА,0.0
1996,1,МАГАДАНСКАЯ ОБЛ,0.0
1996,1,МАРИЙ ЭЛ РЕСП,0.0
1996,1,МОСКВА Г,0.0
1996,1,МОСКОВСКАЯ ОБЛ,0.0
1996,1,МУРМАНСКАЯ ОБЛ,0.0
1996,1,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1996,1,НОВГОРОДСКАЯ ОБЛ,0.0
1996,1,НОВОСИБИРСКАЯ ОБЛ,0.0
1996,1,ОМСКАЯ ОБЛ,0.0
1996,1,ОРЕНБУРГСКАЯ ОБЛ,0.0
1996,1,ПЕНЗЕНСКАЯ ОБЛ,0.0
1996,1,ПСКОВСКАЯ ОБЛ,0.0
1996,1,РОСТОВСКАЯ ОБЛ,0.0
1996,1,РЯЗАНСКАЯ ОБЛ,0.0
1996,1,САМАРСКАЯ ОБЛ,0.0
1996,1,САНКТ-ПЕТЕРБУРГ Г,0.0
1996,1,САРАТОВСКАЯ ОБЛ,0.0
1996,1,САХА /ЯКУТИЯ/ РЕСП,0.0
1996,1,САХАЛИНСКАЯ ОБЛ,0.0
1996,1,СВЕРДЛОВСКАЯ ОБЛ,0.0
1996,1,СЕВАСТОПОЛЬ Г,0.0
1996,1,СМОЛЕНСКАЯ ОБЛ,0.0
1996,1,ТВЕРСКАЯ ОБЛ,0.0
1996,1,ТУЛЬСКАЯ ОБЛ,0.0
1996,1,ТЮМЕНСКАЯ ОБЛ,0.0
1996,1,УДМУРТСКАЯ РЕСП,0.0
1996,1,УКРАИНА,0.0
1996,1,ХАБАРОВСКИЙ КРАЙ,0.0
